m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","82"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","13"
"2008-08-01 00:00:00","java","220"
"2008-08-01 00:00:00","javascript","160"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","ruby","68"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","319"
"2008-09-01 00:00:00","c#","1638"
"2008-09-01 00:00:00","c++","752"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1121"
"2008-09-01 00:00:00","javascript","629"
"2008-09-01 00:00:00","perl","128"
"2008-09-01 00:00:00","php","473"
"2008-09-01 00:00:00","python","534"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","285"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c","302"
"2008-10-01 00:00:00","c#","1983"
"2008-10-01 00:00:00","c++","804"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1143"
"2008-10-01 00:00:00","javascript","720"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","602"
"2008-10-01 00:00:00","python","504"
"2008-10-01 00:00:00","ruby","246"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","c#","1729"
"2008-11-01 00:00:00","c++","733"
"2008-11-01 00:00:00","delphi","139"
"2008-11-01 00:00:00","java","952"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","python","447"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","154"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1593"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","java","824"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","473"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","c#","2373"
"2009-01-01 00:00:00","c++","844"
"2009-01-01 00:00:00","delphi","163"
"2009-01-01 00:00:00","java","1141"
"2009-01-01 00:00:00","javascript","787"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","625"
"2009-01-01 00:00:00","python","630"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2595"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","delphi","166"
"2009-02-01 00:00:00","java","1200"
"2009-02-01 00:00:00","javascript","944"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","php","751"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","429"
"2009-03-01 00:00:00","c#","3155"
"2009-03-01 00:00:00","c++","1043"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1425"
"2009-03-01 00:00:00","javascript","1006"
"2009-03-01 00:00:00","perl","136"
"2009-03-01 00:00:00","php","890"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","454"
"2009-04-01 00:00:00","c#","3302"
"2009-04-01 00:00:00","c++","1015"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1526"
"2009-04-01 00:00:00","javascript","1041"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","947"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","356"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","478"
"2009-05-01 00:00:00","c#","3547"
"2009-05-01 00:00:00","c++","1211"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1812"
"2009-05-01 00:00:00","javascript","1427"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1164"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","400"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","47"
"2009-06-01 00:00:00","c","499"
"2009-06-01 00:00:00","c#","3872"
"2009-06-01 00:00:00","c++","1249"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2108"
"2009-06-01 00:00:00","javascript","1548"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1567"
"2009-06-01 00:00:00","python","1040"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","537"
"2009-07-01 00:00:00","c#","4400"
"2009-07-01 00:00:00","c++","1463"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2250"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","1999"
"2009-07-01 00:00:00","python","1157"
"2009-07-01 00:00:00","r","49"
"2009-07-01 00:00:00","ruby","499"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4440"
"2009-08-01 00:00:00","c++","1396"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2183"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2166"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4347"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2256"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","perl","247"
"2009-09-01 00:00:00","php","2240"
"2009-09-01 00:00:00","python","1168"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","770"
"2009-10-01 00:00:00","c#","4719"
"2009-10-01 00:00:00","c++","1682"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2499"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","perl","281"
"2009-10-01 00:00:00","php","2336"
"2009-10-01 00:00:00","python","1415"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","491"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","958"
"2009-11-01 00:00:00","c#","4674"
"2009-11-01 00:00:00","c++","1744"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2753"
"2009-11-01 00:00:00","javascript","2232"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2664"
"2009-11-01 00:00:00","python","1549"
"2009-11-01 00:00:00","r","93"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4482"
"2009-12-01 00:00:00","c++","1652"
"2009-12-01 00:00:00","delphi","281"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2677"
"2009-12-01 00:00:00","javascript","2301"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2788"
"2009-12-01 00:00:00","python","1584"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","570"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","c","977"
"2010-01-01 00:00:00","c#","5107"
"2010-01-01 00:00:00","c++","1995"
"2010-01-01 00:00:00","delphi","302"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3717"
"2010-01-01 00:00:00","javascript","2621"
"2010-01-01 00:00:00","perl","299"
"2010-01-01 00:00:00","php","3405"
"2010-01-01 00:00:00","python","1933"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","682"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5090"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3570"
"2010-02-01 00:00:00","javascript","2636"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3134"
"2010-02-01 00:00:00","python","1860"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1112"
"2010-03-01 00:00:00","c#","6021"
"2010-03-01 00:00:00","c++","2428"
"2010-03-01 00:00:00","delphi","315"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4436"
"2010-03-01 00:00:00","javascript","2986"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3705"
"2010-03-01 00:00:00","python","2069"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","692"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1179"
"2010-04-01 00:00:00","c#","5769"
"2010-04-01 00:00:00","c++","2486"
"2010-04-01 00:00:00","delphi","268"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3869"
"2010-04-01 00:00:00","javascript","3009"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","php","3623"
"2010-04-01 00:00:00","python","1805"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1178"
"2010-05-01 00:00:00","c#","5923"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4160"
"2010-05-01 00:00:00","javascript","3231"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3947"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1152"
"2010-06-01 00:00:00","c#","6136"
"2010-06-01 00:00:00","c++","2818"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4271"
"2010-06-01 00:00:00","javascript","3474"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4063"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","96"
"2010-07-01 00:00:00","c","1283"
"2010-07-01 00:00:00","c#","6672"
"2010-07-01 00:00:00","c++","2672"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4498"
"2010-07-01 00:00:00","javascript","3876"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4570"
"2010-07-01 00:00:00","python","2580"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","909"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6953"
"2010-08-01 00:00:00","c++","2625"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4694"
"2010-08-01 00:00:00","javascript","3996"
"2010-08-01 00:00:00","perl","544"
"2010-08-01 00:00:00","php","5096"
"2010-08-01 00:00:00","python","2489"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","990"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1369"
"2010-09-01 00:00:00","c#","6404"
"2010-09-01 00:00:00","c++","2725"
"2010-09-01 00:00:00","delphi","318"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4697"
"2010-09-01 00:00:00","javascript","3993"
"2010-09-01 00:00:00","perl","459"
"2010-09-01 00:00:00","php","4660"
"2010-09-01 00:00:00","python","2245"
"2010-09-01 00:00:00","r","235"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1438"
"2010-10-01 00:00:00","c#","6721"
"2010-10-01 00:00:00","c++","2927"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5010"
"2010-10-01 00:00:00","javascript","4101"
"2010-10-01 00:00:00","perl","496"
"2010-10-01 00:00:00","php","4475"
"2010-10-01 00:00:00","python","2668"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","924"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1674"
"2010-11-01 00:00:00","c#","7302"
"2010-11-01 00:00:00","c++","3363"
"2010-11-01 00:00:00","delphi","389"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5578"
"2010-11-01 00:00:00","javascript","4539"
"2010-11-01 00:00:00","perl","464"
"2010-11-01 00:00:00","php","5078"
"2010-11-01 00:00:00","python","2598"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","ruby","926"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1464"
"2010-12-01 00:00:00","c#","7092"
"2010-12-01 00:00:00","c++","3126"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","java","5658"
